city_code,name,state,district_code,lat,lon,population,feature_code,absorbed_places
SHA2,Shahuwadi,Maharashtra,530,16.90993,73.94654,180322,PPL,0
MAD2,Madanapalle,Andhra Pradesh,753,13.5503,78.50288,180180,PPL,0
SHI3,Shivpuri,Madhya Pradesh,423,25.42378,77.66223,179977,PPL,0
SUR2,Surendranagar,Gujarat,475,22.72706,71.64856,179628,PPL,0
NEY,Neyveli,Tamil Nadu,617,11.60877,79.4994,179150,PPL,0
SIL2,Silchar,Assam,316,24.82733,92.79787,178865,PPL,0
PRO,Proddatūr,Andhra Pradesh,551,14.7502,78.54813,177797,PPL,0
HUG,Hugli,West Bengal,338,22.90877,88.39674,177005,PPL,0
HAS,Hashtsāl,Delhi,096,28.63406,77.05771,176877,PPL,0
AMR3,Amroha,Uttar Pradesh,137,28.90314,78.46984,176253,PPL,0
CHH,Chhindwāra,Madhya Pradesh,455,22.05697,78.93958,175052,PPL,0
TAM,Tambaram,Tamil Nadu,730,12.9246,80.12707,174787,PPL,0
BHE,Bhetia,Jharkhand,369,22.79321,86.14098,174355,PPL,0
PAT3,Pathānkot,Punjab,662,32.27484,75.65287,174306,PPL,0
BAD,Badlapur,Maharashtra,517,19.15516,73.26553,174226,PPL,0
CUD,Cuddalore,Tamil Nadu,617,11.75617,79.76693,173636,PPL,0
SHI4,Shimla,Himachal Pradesh,033,31.10442,77.16662,173503,PPLA,0
GAD,Gadag-Betageri,Karnataka,561,15.4167,75.6167,172813,PPL,0
GAD2,Gadag,Karnataka,561,15.42977,75.62971,172612,PPL,0
VER,Verāval,Gujarat,675,20.9077,70.36786,171121,PPLA2,0
NAV2,Navsari,Gujarat,490,20.94237,72.92467,171109,PPLA2,0
BAH3,Bahadurgarh,Haryana,083,28.69287,76.93555,170767,PPL,0
HAL,Haldia,West Bengal,345,22.06046,88.10975,170695,PPL,0
RAI3,Rāiganj,West Bengal,330,25.61281,88.12449,170252,PPL,0
MAL2,Malda,West Bengal,332,25.00447,88.14573,170039,PPLA2,0
JAU,Jaunpur,Uttar Pradesh,194,25.75356,82.68689,169572,PPL,0
DEO2,Deoli,Delhi,098,28.50254,77.23117,169122,PPL,0
BHA6,Bharūch,Gujarat,488,21.69482,72.9805,169007,PPL,0
HOS3,Hoshiārpur,Punjab,038,31.53723,75.91269,168653,PPLA2,0
JIN,Jīnd,Haryana,077,29.31577,76.31502,167592,PPL,0
KUM2,Kumbakonam,Tamil Nadu,620,10.96209,79.39124,167155,PPL,0
MOH,Mohali,Punjab,052,30.67995,76.72211,166864,PPL,0
FAT,Fatehpur,Uttar Pradesh,172,25.92774,80.81266,166480,PPL,0
TON,Tonk,Rajasthan,120,26.16638,75.78824,165294,PPL,0
UDU,Udupi,Karnataka,569,13.33467,74.74617,165000,PPL,0
THE,Thenali,Andhra Pradesh,548,16.24253,80.63982,164937,PPLA3,0
SIT,Sītāpur,Uttar Pradesh,154,27.56192,80.68265,164435,PPL,0
ALA2,Alandur,Tamil Nadu,730,13.0025,80.20611,164430,PPLX,0
BHA7,Bhadrāvati,Karnataka,568,13.84846,75.70502,163903,PPL,0
VAP,Vapi,Gujarat,491,20.37175,72.90493,163630,PPL,0
MOG,Moga,Punjab,042,30.81383,75.16878,163397,PPL,0
RAJ4,Rāj-Nāndgaon,Chhattisgarh,408,21.09687,81.0289,163114,PPL,0
ROB,Robertsonpet,Karnataka,581,12.95629,78.27539,162230,PPL,0
UNN,Unnāo,Uttar Pradesh,156,26.54706,80.48781,161671,PPL,0
BUD,Budaun,Uttar Pradesh,149,28.03811,79.12668,161555,PPL,0
MAD3,Madhyamgram,West Bengal,337,22.68944,88.44594,161126,PPL,0
CHI,Chittoor,Andhra Pradesh,554,13.21055,79.0956,160722,PPLA2,0
JAM4,Jāmuria,West Bengal,704,23.70468,87.07872,160242,PPL,0
JAI2,Jaigaon,West Bengal,664,26.84766,89.37558,158664,PPL,0
BAT2,Batāla,Punjab,035,31.80921,75.20294,158621,PPL,0
ORA,Orai,Uttar Pradesh,165,25.99023,79.45334,158265,PPL,0
SAH2,Saharsa,Bihar,214,25.87498,86.59611,156540,PPL,0
VID,Vidisha,Madhya Pradesh,443,23.52604,77.81092,155951,PPL,0
HAN,Hanumāngarh,Rajasthan,100,29.58182,74.32938,155687,PPL,0
THA3,Thānesar,Haryana,072,29.97323,76.83214,155152,PPL,0
HAS2,Hassan,Karnataka,574,13.00715,76.0962,155006,PPL,0
KIS,Kishangarh,Rajasthan,119,26.59006,74.85397,154886,PPL,0
RUD,Rudrapur,Uttarakhand,067,28.98,79.4,154554,PPL,0
NAL,Nalgonda,Telangana,539,17.05439,79.26707,154326,PPL,0
HAZ,Hazāribāgh,Jharkhand,360,23.99241,85.36162,153595,PPL,0
MED,Medinīpur,West Bengal,344,22.42114,87.32257,153349,PPL,0
BAL2,Bālurghāt,West Bengal,331,25.22099,88.77732,153279,PPL,0
FYZ,Fyzābād,Uttar Pradesh,177,26.77549,82.15018,153047,PPL,0
DIN3,Dinapore,Bihar,230,25.63705,85.04794,152940,PPL,0
POR,Porbandar,Gujarat,478,21.64219,69.60929,152760,PPL,0
BAN,Bānda,Uttar Pradesh,170,25.47758,80.33491,152218,PPL,0
HIN,Hindupur,Andhra Pradesh,754,13.82807,77.49143,151677,PPL,0
BEA,Beāwar,Rajasthan,119,26.10119,74.32028,151152,PPL,0
ANA3,Anantnag,Jammu and Kashmir,014,33.73068,75.15418,150592,PPL,0
SER,Serilingampalle,Telangana,691,17.49313,78.30196,150525,PPL,0
RAI4,Raigarh,Chhattisgarh,403,21.89764,83.3966,150019,PPL,0
SHA3,Shāntipur,West Bengal,336,23.24723,88.43302,149983,PPL,0
BHU3,Bhuj,Gujarat,468,23.25397,69.66928,148834,PPLA2,0
BAR4,Bārākpur,West Bengal,337,22.76602,88.36336,148174,PPL,0
HAJ,Hājīpur,Bihar,220,25.68544,85.20981,147688,PPL,0
SAS,Sasarām,Bihar,234,24.94942,84.01645,147408,PPL,0
BHI6,Bhimavaram,Andhra Pradesh,546,16.54078,81.52322,146961,PPL,0
BEE,Beed,Maharashtra,523,18.98921,75.75634,146709,PPLA3,0
KRI,Krishnanagar,West Bengal,336,23.40576,88.49073,145926,PPL,0
CHI2,Chitradurga,Karnataka,566,14.22262,76.40038,145853,PPL,0
DIB,Dibrugarh,Assam,310,27.47989,94.90837,145488,PPLA2,0
ABO,Abohar,Punjab,651,30.14453,74.19552,145302,PPL,0
TIR5,Tiruvannamalai,Tamil Nadu,606,12.22662,79.07461,145278,PPL,0
KAI,Kaithal,Haryana,073,29.80153,76.39959,144915,PPL,0
BAL3,Balasore,Odisha,377,21.49266,86.93348,144373,PPL,0
GOD,Godhra,Gujarat,484,22.77547,73.61488,143644,PPL,0
SHI5,Shillong,Meghalaya,298,25.56892,91.88313,143229,PPLA,0
REW2,Rewāri,Haryana,085,28.199,76.6183,143021,PPL,0
BAS,Basirhat City,West Bengal,337,22.66142,88.85477,143007,PPL,0
CHH2,Chhatarpur,Madhya Pradesh,425,24.9177,79.58871,142128,PPL,0
MAN3,Mandsaur,Madhya Pradesh,433,24.07184,75.06986,141667,PPL,0
CHA5,Chas,Jharkhand,355,23.63556,86.16712,141640,PPL,0
PAL3,Pālanpur,Gujarat,469,24.17128,72.43827,141592,PPL,0
LAK,Lakhīmpur,Uttar Pradesh,153,27.94822,80.77935,140223,PPL,0
VAL,Valsād,Gujarat,491,20.61013,72.93428,139764,PPLA2,0
DAM,Damoh,Madhya Pradesh,428,23.83312,79.4419,139561,PPL,0
HAL2,Haldwani,Uttarakhand,066,29.22254,79.5286,139497,PPL,0
