city_code,name,state,lat,lon,population,zone_count,service_radius_km,modelled_population,retention,area_km2,pipe_length_km
SAT,Satna,Madhya Pradesh,24.57726,80.82719,282977,11,3.301,282976,1.0,29.96,316.9
PUR,Purnia,Bihar,25.77895,87.47422,282248,11,3.297,282251,1.0,29.9,316.13
IMP,Imphal,Manipur,24.80805,93.9442,277196,11,3.272,277201,1.0,29.45,311.13
SAU,Saugor,Madhya Pradesh,23.83877,78.73874,274556,11,3.259,274556,1.0,29.2,308.52
KUS,Kushinagar,Uttar Pradesh,26.74134,83.88689,274403,11,3.258,274404,1.0,29.19,308.41
ROU,Rourkela,Odisha,22.22496,84.86414,273317,6,3.253,136656,0.5,15.87,164.24
DUR2,Durg,Chhattisgarh,21.19147,81.27619,268806,11,3.23,268803,1.0,28.7,302.86
ANA,Anantapur,Andhra Pradesh,14.67784,77.60813,267161,11,3.222,267164,1.0,28.55,301.24
RAT,Ratlām,Madhya Pradesh,23.33033,75.04032,264914,11,3.211,264911,1.0,28.35,299.0
RAN2,Rānipet,Tamil Nadu,12.92471,79.33331,264330,11,3.208,264330,1.0,28.29,298.41
ARR,Arrah,Bihar,25.55629,84.66335,261430,11,3.193,261430,1.0,28.03,295.58
GAJ,Gajuwaka,Andhra Pradesh,17.7,83.21667,258944,7,3.18,151054,0.583,17.7,182.76
ETA,Etāwah,Uttar Pradesh,26.77615,79.02133,257448,11,3.172,257449,1.0,27.68,291.61
AMB2,Ambarnath,Maharashtra,19.2,73.16667,253475,7,3.152,147861,0.583,17.38,179.35
NAI,Naihāti,West Bengal,22.89396,88.41521,253221,4,3.15,84408,0.333,9.92,102.42
BHA5,Bharatpur,Rajasthan,27.21731,77.49009,252838,10,3.148,252838,1.0,24.78,267.2
BEG,Begusarai,Bihar,25.41853,86.13389,252008,10,3.144,252008,1.0,24.71,266.4
GAN2,Gāndhīdhām,Gujarat,23.08333,70.13333,247992,10,3.123,247994,1.0,24.38,262.68
MAU,Mau,Uttar Pradesh,25.94167,83.56111,246050,10,3.112,246050,1.0,24.22,260.86
SIK,Sīkar,Rajasthan,27.61206,75.13996,244497,10,3.104,244496,1.0,24.09,259.42
RAM3,Ramagundam,Telangana,18.755,79.474,242979,10,3.096,202486,0.833,23.96,246.94
HAP,Hāpur,Uttar Pradesh,28.72985,77.78068,242920,10,3.096,242922,1.0,23.96,257.92
FAR2,Farrukhābād,Uttar Pradesh,27.39134,79.5793,241152,10,3.086,241148,1.0,23.81,256.24
ALA,Alappuzha,Kerala,9.49004,76.3264,240991,10,3.085,240992,1.0,23.8,256.14
KAT,Katihar,Bihar,25.53852,87.57044,240838,10,3.085,240842,1.0,23.79,256.0
SRI2,Sri Ganganagar,Rajasthan,29.92009,73.87496,237780,10,3.068,237776,1.0,23.53,253.12
REW,Rewa,Madhya Pradesh,24.53256,81.29234,235654,10,3.057,235652,1.0,23.36,251.14
ULU,Uluberiya,West Bengal,22.4756,88.09898,235345,10,3.055,235346,1.0,23.33,250.84
SIV,Sivakasi,Tamil Nadu,9.44999,77.79797,234704,10,3.051,234700,1.0,23.28,250.24
KAR3,Karur,Tamil Nadu,10.95771,78.08095,234191,10,3.049,234190,1.0,23.23,249.74
RAI2,Rāichūr,Karnataka,16.20546,77.35567,234073,10,3.048,234074,1.0,23.22,249.64
PAL,Pallāvaram,Tamil Nadu,12.96796,80.15025,233984,10,3.047,194988,0.833,23.22,238.9
OOT,Ooty,Tamil Nadu,11.4134,76.69521,233426,10,3.044,233428,1.0,23.17,249.0
PAL2,Pāli,Rajasthan,25.77276,73.32335,230075,10,3.026,230074,1.0,22.89,245.88
HOS,Hosūr,Tamil Nadu,12.73647,77.83264,229528,10,3.023,229530,1.0,22.85,245.38
VIZ,Vizianagaram,Andhra Pradesh,18.11692,83.41148,228720,10,3.018,228724,1.0,22.78,244.64
SHR,Shrīrāmpur,West Bengal,22.75278,88.34222,226317,2,3.005,37720,0.167,4.52,46.41
QUT,Quthbullapur,Telangana,17.50107,78.45818,225816,9,3.002,225814,1.0,20.28,223.84
NAD,Nadiād,Gujarat,22.69385,72.86157,225071,9,2.998,225074,1.0,20.22,223.17
NAG2,Nāgercoil,Tamil Nadu,8.17899,77.43227,224849,9,2.997,224848,1.0,20.21,222.99
MAN2,Mango,Jharkhand,22.8275,86.21639,223805,8,2.991,149205,0.667,17.9,183.83
MUR,Murwāra,Madhya Pradesh,23.83776,80.39405,221883,9,2.98,221885,1.0,19.98,220.39
KAN3,Kanchipuram,Tamil Nadu,12.83515,79.70006,221715,9,2.979,221712,1.0,19.97,220.21
SIN,Singrauli,Madhya Pradesh,24.19973,82.67535,220257,9,2.971,220255,1.0,19.86,218.96
MIR,Mirzāpur,Uttar Pradesh,25.1449,82.56534,220029,9,2.97,220029,1.0,19.84,218.78
KHA,Kharagpur,West Bengal,22.33971,87.32501,219665,9,2.968,219666,1.0,19.82,218.42
ELU,Eluru,Andhra Pradesh,16.71311,81.10437,218020,9,2.958,218018,1.0,19.69,216.99
YAM,Yamuna Nagar,Haryana,30.12796,77.28371,217071,9,2.953,162805,0.75,19.62,201.34
RAU,Raurkela Industrial Township,Odisha,22.19994,84.86176,216410,7,2.949,126241,0.583,15.22,156.19
BID,Bidar,Karnataka,17.90802,77.51524,216020,9,2.947,216020,1.0,19.54,215.24
MUN,Munger,Bihar,25.37459,86.47455,213303,9,2.931,213305,1.0,19.33,212.82
NAN2,Nandyāl,Andhra Pradesh,15.47799,78.4836,211424,9,2.92,211427,1.0,19.19,211.17
PAN3,Panchkula,Haryana,30.69461,76.8504,211355,9,2.92,211356,1.0,19.19,211.12
BUR,Burhānpur,Madhya Pradesh,21.30868,76.23026,210886,9,2.917,210882,1.0,19.15,210.72
MOR2,Morvi,Gujarat,22.81731,70.8377,210451,9,2.915,210448,1.0,19.12,210.32
ANA2,Anand,Gujarat,22.55251,72.9552,209410,9,2.909,209407,1.0,19.04,209.42
