city_code,observed_on,rain_mm_7d,rain_mm_30d,source
JAL,2026-09-05,26.8,103.7,open-meteo-era5
ROH,2026-09-05,52.5,260.2,open-meteo-era5
KAN2,2026-09-05,6.3,285.9,open-meteo-era5
BHA,2026-09-05,51.9,312.3,open-meteo-era5
NAR,2026-09-05,59.3,234.1,open-meteo-era5
THI,2026-09-05,2.5,103.1,open-meteo-era5
ALI,2026-09-05,57.3,198.7,open-meteo-era5
BAR,2026-09-05,212.7,391.4,open-meteo-era5
MOR,2026-09-05,116.4,284.0,open-meteo-era5
WAR,2026-09-05,6.9,66.6,open-meteo-era5
GOR,2026-09-05,120.8,312.1,open-meteo-era5
GUN,2026-09-05,25.3,87.9,open-meteo-era5
PUD,2026-09-05,16.3,116.9,open-meteo-era5
JAJ,2026-09-05,95.8,441.9,open-meteo-era5
AMR2,2026-09-05,22.0,102.4,open-meteo-era5
BIK,2026-09-05,1.2,49.8,open-meteo-era5
KOC,2026-09-05,6.3,285.9,open-meteo-era5
BHI2,2026-09-05,71.0,359.6,open-meteo-era5
CUT,2026-09-05,106.7,548.0,open-meteo-era5
BOR,2026-09-05,53.9,299.2,open-meteo-era5
BHA2,2026-09-05,9.1,52.9,open-meteo-era5
SAN,2026-09-05,17.3,78.1,open-meteo-era5
JAM2,2026-09-05,3.6,42.1,open-meteo-era5
JAM3,2026-09-05,58.6,188.0,open-meteo-era5
BOK,2026-09-05,144.7,385.3,open-meteo-era5
NAN,2026-09-05,10.5,71.1,open-meteo-era5
KOZ,2026-09-05,4.3,296.0,open-meteo-era5
KOL2,2026-09-05,13.3,82.4,open-meteo-era5
NEL,2026-09-05,10.2,49.6,open-meteo-era5
KAL3,2026-09-05,10.6,73.7,open-meteo-era5
AJM,2026-09-05,11.8,98.0,open-meteo-era5
DEH,2026-09-05,103.8,301.7,open-meteo-era5
ERO,2026-09-05,7.2,63.7,open-meteo-era5
DUR,2026-09-05,148.7,384.9,open-meteo-era5
ULH,2026-09-05,39.7,254.5,open-meteo-era5
SIL,2026-09-05,57.0,327.7,open-meteo-era5
UJJ,2026-09-05,27.0,273.3,open-meteo-era5
BIL,2026-09-05,21.3,174.7,open-meteo-era5
ASA,2026-09-05,126.8,418.0,open-meteo-era5
MAN,2026-09-05,20.6,266.4,open-meteo-era5
BEL,2026-09-05,13.0,78.5,open-meteo-era5
SAH,2026-09-05,31.9,154.7,open-meteo-era5
VEL,2026-09-05,28.3,98.2,open-meteo-era5
BHA3,2026-09-05,138.0,358.3,open-meteo-era5
MAL,2026-09-05,11.6,55.0,open-meteo-era5
MOD,2026-09-05,52.9,207.6,open-meteo-era5
GAY,2026-09-05,177.5,392.9,open-meteo-era5
AMB,2026-09-05,14.6,81.2,open-meteo-era5
JAL2,2026-09-05,14.3,103.6,open-meteo-era5
KUR,2026-09-05,11.4,83.8,open-meteo-era5
RAM,2026-09-05,8.6,118.4,open-meteo-era5
UDA,2026-09-05,4.8,92.1,open-meteo-era5
MAH,2026-09-05,167.7,526.2,open-meteo-era5
PAT2,2026-09-05,16.4,81.9,open-meteo-era5
SHY,2026-09-05,133.2,376.1,open-meteo-era5
DAV,2026-09-05,19.4,101.9,open-meteo-era5
AKO,2026-09-05,6.4,77.0,open-meteo-era5
RAJ2,2026-09-05,162.7,498.9,open-meteo-era5
KOR,2026-09-05,151.6,556.8,open-meteo-era5
JHA,2026-09-05,96.6,434.5,open-meteo-era5
THO,2026-09-05,5.4,50.7,open-meteo-era5
BAL,2026-09-05,10.6,51.0,open-meteo-era5
BHA4,2026-09-05,83.2,190.5,open-meteo-era5
AGA,2026-09-05,72.2,289.1,open-meteo-era5
KAK,2026-09-05,15.8,77.8,open-meteo-era5
LAT,2026-09-05,8.5,82.1,open-meteo-era5
PAN,2026-09-05,110.4,399.1,open-meteo-era5
RAJ3,2026-09-05,16.0,100.1,open-meteo-era5
DHU,2026-09-05,10.9,68.1,open-meteo-era5
ROH2,2026-09-05,40.0,155.8,open-meteo-era5
AHI,2026-09-05,12.0,65.0,open-meteo-era5
KOL3,2026-09-05,6.7,126.3,open-meteo-era5
BIL2,2026-09-05,101.7,433.4,open-meteo-era5
BHI3,2026-09-05,2.1,121.2,open-meteo-era5
BRA,2026-09-05,43.6,387.8,open-meteo-era5
MUZ,2026-09-05,63.6,168.3,open-meteo-era5
PUN2,2026-09-05,37.0,187.5,open-meteo-era5
MUZ2,2026-09-05,36.9,161.9,open-meteo-era5
AVA,2026-09-05,13.9,71.9,open-meteo-era5
KAD,2026-09-05,8.4,57.9,open-meteo-era5
KAM,2026-09-05,110.4,399.1,open-meteo-era5
MAT,2026-09-05,61.0,198.3,open-meteo-era5
CHA2,2026-09-05,23.2,159.9,open-meteo-era5
